T,gyro_1f_ay
124.190088,477
124.290087,424
124.390094,383
124.490086,349
124.590086,319
124.690103,297
124.790103,272
124.890105,272
124.990105,276
125.090126,287
125.191871,305
125.293659,336
125.390103,365
125.490095,396
125.590082,424
125.690085,456
125.790112,480
125.890087,489
125.990113,508
126.190119,536
126.290118,548
126.590116,563
126.690081,562
126.790095,563
126.890096,559
127.090104,555
127.190088,550
127.290087,548
127.390095,542
127.490086,541
127.590085,533
127.890104,525
127.990065,514
128.190057,495
128.290082,479
128.590055,417
128.890087,336
128.9901,296
129.390086,134
129.490116,103
129.590077,72
129.690094,46
129.790081,24
129.890083,4
129.990083,6
130.090064,-12
130.190075,-17
130.2901,-27
130.390081,-28
130.490072,-25
130.590072,-20
130.690089,-12
130.790077,-1
130.890091,13
130.993614,30
131.090113,53
131.190097,79
131.290083,106
131.39009,125
131.490068,159
131.690072,215
131.790059,242
131.890074,268
132.190053,313
132.290064,318
132.390085,324
132.49005,327
132.690094,334
132.790055,336
132.893605,335
132.990069,337
133.190075,332
133.29006,329
133.390055,327
133.490059,325
133.69009,320
133.79009,318
133.890078,314
133.990065,312
134.090047,309
134.290056,302
134.39005,299
134.690085,286
135.090082,272
135.290078,264
135.390072,257
135.490103,252
135.690081,246
135.790067,240
135.990069,232
136.090064,229
136.190074,225
136.29006,222
136.390054,218
136.490059,216
136.590072,215
136.693547,209
136.790037,208
136.890078,204
137.190044,195
137.490068,188
137.590068,183
137.690045,177
137.790059,176
137.890074,174
137.990086,169
138.090095,166
138.190079,161
138.290091,159
138.390059,155
139.290073,126
140.793595,98
140.890047,97
140.990034,96
141.090029,94
141.190039,94
141.290051,93
141.390033,90
141.490036,89
141.590076,88
141.690028,88
141.790028,86
141.890042,86
141.990056,85
142.090051,83
142.190034,82
142.290047,82
142.390041,79
142.490019,78
142.590019,78
142.692299,75
142.790023,75
142.890025,74
142.990038,72
143.090046,71
143.19007,70
143.290042,69
143.39005,67
143.490041,65
143.590028,65
143.690032,64
143.790058,63
143.89006,60
143.990033,60
144.090042,59
144.190039,58
144.290037,58
144.390032,56
144.490037,55
144.590036,54
144.690054,52
144.790041,52
144.892292,51
144.990029,48
145.090024,49
145.190035,45
145.29002,43
145.390028,43
145.490045,42
145.590032,40
145.690036,39
145.790037,38
145.890051,38
145.990038,36
146.09002,36
146.190016,34
146.290016,34
146.390023,33
146.49004,32
146.590054,33
146.690032,32
146.793542,32
146.890007,30
146.99002,30
147.090042,29
147.190012,29
147.290024,28
148.990012,21
149.090033,19
149.19003,19
149.290029,19
149.39001,18
149.490027,18
149.590014,18
149.690045,17
149.790032,17
149.890007,17
149.990007,16
150.090002,15
150.190012,14
150.290024,15
150.389992,13
150.490023,14
150.590009,13
150.690001,12
150.790014,10
150.893565,10
150.990029,8
151.090011,8
151.190008,9
151.29002,8
151.390001,8
151.490005,8
151.590018,8
151.689996,7
151.789997,7
151.890024,5
151.990024,5
152.089993,3
152.190029,3
152.290015,2
152.39001,1
152.490014,1
152.590001,0
152.690032,-1
152.793528,-2
152.890006,-1
152.990007,-2
153.090002,-6
153.189999,-4
153.290011,-5
153.390019,-5
153.490009,-6
153.59001,-8
153.690001,-8
153.789987,-9
153.889989,-10
153.989976,-10
154.089984,-10
154.190007,-11
154.289993,-12
154.389974,-11
154.490005,-12
154.589979,-12
154.693519,-13
154.790009,-14
154.889998,-14
154.989985,-14
155.090019,-14
155.190003,-15
155.289989,-15
155.389983,-16
155.490001,-16
155.590014,-16
155.689992,-17
155.789979,-18
155.889993,-18
155.990006,-18
156.090002,-18
156.189986,-18
156.289971,-19
156.389992,-19
156.593493,-19
156.689987,-20
156.789974,-19
156.889989,-20
156.989989,-19
157.089984,-20
157.189968,-19
157.289993,-20
157.389974,-19
157.489992,-19
157.589978,-20
157.68997,-19
157.789983,-20
157.889984,-20
157.989998,-20
158.089967,-20
158.189963,-19
158.289975,-19
158.38997,-20
158.489987,-19
158.589987,-18
158.690018,-18
158.789966,-18
158.88998,-17
158.98998,-18
159.089989,-17
159.189985,-17
159.289984,-16
159.389992,-16
159.489956,-16
159.589957,-15
159.689974,-15
159.789974,-15
159.889989,-14
159.989976,-13
160.089957,-13
160.189968,-13
160.289954,-12
160.389963,-12
160.489954,-11
160.589994,-11
160.689959,-10
160.789958,-10
160.88996,-9
160.989973,-8
161.089981,-9
161.189978,-7
161.289964,-8
161.490002,-8
161.689967,-7
161.789967,-7
161.889982,-8
161.989968,-8
162.089977,-9
162.189948,-9
162.289973,-9
162.38998,-9
162.489985,-8
162.589959,-9
162.689949,-9
162.78995,-10
162.889964,-10
162.989964,-10
163.089986,-11
163.189983,-11
163.289955,-11
163.389976,-11
163.489967,-11
163.58998,-12
163.689985,-12
163.789985,-12
163.889959,-12
163.989973,-12
164.089968,-12
164.189965,-12
164.289964,-12
164.389972,-12
164.493499,-12
164.589989,-12
164.689993,-12
164.789954,-12
164.889955,-12
164.989982,-12
165.089964,-12
165.18996,-12
165.289973,-11
165.389967,-11
165.489958,-11
165.589971,-12
165.68995,-12
165.789951,-11
165.889953,-11
165.98994,-12
166.089935,-11
166.189971,-12
166.289957,-11
166.389938,-11
166.489942,-11
166.589929,-11
166.689947,-11
166.789947,-10
166.889962,-10
166.989962,-10
167.08997,-10
167.18994,-10
167.289953,-9
167.389934,-10
167.489938,-9
167.589952,-10
167.789942,-10
167.889957,-10
167.98993,-10
168.089926,-11
168.189936,-11
168.289935,-11
168.389942,-11
168.489947,-11
168.589934,-11
168.689964,-10
168.789965,-10
168.889966,-10
168.989939,-10
169.089935,-10
169.189945,-10
169.28993,-10
169.389938,-10
169.489943,-9
169.589942,-10
169.689933,-9
169.78996,-9
169.889948,-9
169.989948,-9
170.08993,-9
170.18994,-9
170.289939,-9
170.389934,-10
170.493461,-9
170.589938,-10
170.689929,-10
170.789956,-10
170.889944,-10
170.989931,-10
171.089966,-10
171.189949,-10
171.289961,-10
171.389947,-10
171.489981,-10
171.589919,-10
171.689924,-10
171.78991,-10
171.889925,-10
171.989942,-10
172.089915,-11
172.189938,-10
172.289937,-10
172.393442,-10
172.489909,-11
172.589923,-11
172.689967,-11
172.789914,-11
172.889942,-12
172.989929,-12
173.089924,-12
173.189934,-12
173.289937,-12
173.389961,-12
173.489943,-11
173.589935,-11
173.689925,-11
173.789939,-10
173.889927,-10
173.989927,-10
174.089926,-9
174.189936,-8
174.293462,-8
174.38992,-9
174.489912,-8
174.589912,-8
174.689889,-8
174.789916,-8
174.889918,-8
174.989917,-8
175.089943,-8
175.189914,-8
175.289943,-8
175.389928,-9
175.489919,-9
175.589919,-9
175.689927,-9
175.789928,-9
175.889929,-10
175.989916,-9
176.089928,-9
176.18993,-10
176.28993,-10
176.389925,-10
176.489903,-10
176.589919,-10
176.689901,-11
176.789902,-11
