T,gyro_1f_roll[deg]
76.495471,2.6
76.595497,2.5
76.695501,2.5
76.795475,2.4
76.895463,2.3
76.99549,2.2
77.095498,2.1
77.195468,1.9
77.295475,1.7
77.395515,1.6
77.495994,1.5
77.595466,1.5
77.69547,1.5
77.795972,1.5
77.895472,1.4
77.895472,1.4
77.995498,1.4
78.095494,1.4
78.195517,1.4
78.295484,1.3
78.395497,1.3
78.495475,1.2
78.595475,1.2
78.695519,1.2
78.795505,1.1
78.895507,1.1
78.995481,1.1
79.095502,1.0
79.095502,1.0
79.195512,0.8
79.295506,0.6
79.395981,0.5
79.495483,0.3
79.595484,0.1
79.69599,0.0
79.795488,359.9
79.895476,359.7
79.995477,359.6
80.095458,359.4
80.195495,359.3
80.295488,359.3
80.395448,359.3
80.495466,359.3
80.595466,359.4
80.69543,359.5
80.795464,359.6
80.895453,359.7
80.995492,359.7
81.095487,359.8
81.195471,359.8
81.295993,359.8
81.395451,359.8
81.495469,359.8
81.595971,359.8
81.695486,359.8
81.795487,359.7
81.895448,359.7
81.995475,359.6
82.095457,359.5
82.195467,359.4
82.295433,359.3
82.3955,359.2
82.495478,359.2
82.595451,359.2
82.695455,359.3
82.795495,359.5
82.895457,359.6
82.995444,359.8
83.095492,359.9
83.195964,0.0
83.295469,0.1
83.395469,0.1
83.496002,0.1
83.5955,0.1
83.695451,0.0
83.795451,359.8
83.895413,359.6
83.995466,359.5
84.095435,359.4
84.195418,359.3
84.295478,359.3
84.395451,359.4
84.495495,359.5
84.595495,359.6
84.695447,359.8
84.79546,0.0
84.895474,0.0
84.995448,0.0
85.096766,0.1
85.195467,0.1
85.29546,0.0
85.395922,0.1
85.495438,0.1
85.595412,0.2
85.695456,0.3
85.795455,0.3
86.095425,359.6
86.195436,359.3
86.295416,359.1
86.395416,358.9
86.495433,358.8
86.595447,358.7
86.695424,358.6
86.795438,358.6
86.895466,358.5
86.996709,358.5
87.095448,358.5
87.195458,358.6
87.29594,358.8
87.395411,358.9
87.495455,359.1
87.595469,359.2
87.695393,359.3
87.795433,359.4
87.895435,359.5
87.995448,359.5
88.095456,359.4
88.195467,359.4
88.29546,359.3
88.395433,359.3
88.495477,359.3
88.595411,359.3
88.695429,359.3
88.795429,359.2
88.896687,359.2
88.995444,359.1
89.095399,359.1
89.195924,359.0
89.295416,359.0
89.395455,359.0
89.495473,358.9
89.595433,358.9
89.695411,358.8
89.795451,358.7
89.895452,358.7
89.995426,358.7
90.095435,358.7
90.195457,358.7
90.295424,358.8
90.395451,358.8
90.495428,358.9
90.595429,358.9
90.695433,359.0
90.796716,359.2
90.895448,359.5
90.995435,359.8
91.095972,0.1
91.195413,0.2
91.295433,0.3
91.395473,0.3
91.495437,0.2
91.595464,0.0
91.695429,0.0
91.795442,0.0
91.895443,0.1
91.995417,0.4
92.095465,0.7
92.195422,1.1
92.295429,1.4
92.395415,1.7
92.49538,2.0
92.595407,2.3
92.69672,2.6
92.795398,2.8
92.895399,3.0
92.995941,3.1
93.095461,3.2
93.195418,3.1
93.295425,3.0
93.395464,3.0
93.495429,3.0
93.595416,3.1
93.695446,3.1
93.79542,3.0
93.895408,2.8
93.995408,2.5
94.09539,2.2
94.19544,1.8
94.295446,1.5
94.395446,1.2
94.495464,1.0
94.59676,0.8
94.695428,0.6
94.795455,0.6
94.895932,0.6
94.99543,0.7
95.095399,0.8
95.195409,1.0
95.295389,1.2
95.395416,1.3
95.495407,1.5
95.59538,1.7
95.695398,1.8
95.795424,1.9
95.895425,2.0
95.995386,1.9
96.095408,1.8
96.195404,1.7
96.295437,1.6
96.395438,1.5
96.495957,1.4
96.595429,1.3
96.695407,1.2
96.795922,1.2
96.895434,1.1
96.995435,1.1
97.095443,1.1
97.195453,1.1
97.295393,1.2
97.395447,1.3
97.795415,1.6
98.195396,2.3
98.295402,2.4
98.396685,2.4
98.49542,2.5
98.595393,2.5
98.695873,2.7
100.995417,1.0
101.295415,0.5
101.395442,0.3
101.495393,0.0
101.595367,359.7
101.695358,359.5
101.795385,359.3
101.895425,359.1
101.995386,358.9
102.095368,358.7
102.196687,358.4
102.295384,358.3
102.395385,358.2
102.495877,358.1
102.595375,358.1
102.69538,358.0
102.79538,357.8
102.895394,357.7
102.995381,357.6
103.095443,357.5
103.19536,357.5
103.29538,357.4
103.39538,357.3
103.49541,357.3
103.595371,357.2
103.695389,357.1
103.795415,357.1
103.895403,357.1
103.995404,357.1
104.096668,357.2
104.195382,357.2
104.295402,357.4
104.395917,357.5
104.495406,357.7
104.595393,357.9
104.695411,358.1
104.795384,358.2
104.895412,358.3
104.995386,358.3
105.095407,358.2
105.195378,358.2
105.295398,358.2
105.395397,358.2
105.495402,358.2
105.595402,358.1
105.695393,358.0
106.595384,357.6
106.695375,357.6
106.795389,357.6
106.895364,357.5
106.99539,357.4
107.095412,357.4
107.195396,357.4
107.295388,357.5
107.395402,357.5
107.495393,357.6
107.595406,357.5
107.695371,357.4
107.795384,357.4
107.896682,357.4
107.995386,357.4
108.095368,357.4
108.195866,357.3
108.295344,357.3
108.395384,357.3
108.495362,357.4
108.595388,357.4
110.995359,358.1
111.09538,358.1
111.195364,358.1
111.295411,358.2
111.395344,358.3
111.495401,358.4
111.595389,358.5
111.695868,358.6
111.795379,358.7
111.895381,358.7
111.99587,358.7
112.19536,358.7
115.995772,359.6
116.096296,359.5
116.395358,359.1
116.695819,358.7
119.795806,352.6
119.895381,353.8
119.995794,355.2
