T,gyro_1f_ax
101.893205,-398
101.993192,-413
102.093188,-379
102.193687,-436
102.293217,-403
102.393191,-435
102.493182,-402
102.593169,-423
102.693173,-453
102.793187,-383
102.893188,-479
102.993188,-428
103.093223,-456
103.19318,-425
103.293187,-447
103.39316,-438
103.493204,-396
103.593178,-337
103.693169,-425
103.793208,-391
103.893197,-420
103.99321,-341
104.093681,-367
104.193176,-347
104.293169,-387
104.393196,-291
104.4932,-299
104.593187,-322
104.693204,-317
104.793191,-266
104.893206,-273
104.993179,-278
105.093214,-358
105.193184,-337
105.293191,-347
105.393191,-352
105.493182,-295
105.593182,-335
105.693186,-294
106.593191,-297
106.693168,-327
106.793182,-326
106.89317,-333
106.993197,-357
107.093192,-350
107.193202,-345
107.293208,-341
107.393195,-326
107.4932,-317
107.593199,-306
107.693177,-267
107.793178,-295
107.893681,-354
107.993179,-294
108.093174,-346
108.193171,-302
108.293151,-308
108.393191,-329
108.593169,-302
108.693186,-263
110.893192,-252
110.993166,-233
111.093187,-230
111.29241,-244
111.393151,-253
111.492401,-157
111.593182,-183
111.693675,-216
111.793173,-176
111.892394,-181
111.993677,-135
112.192373,-214
116.09234,-113
116.292336,-176
116.493142,-130
116.591868,-148
116.693146,-32
119.791873,-603
119.891887,-628
119.991861,-643
120.093169,-651
120.193166,-666
120.293178,-687
120.391873,-703
120.691877,-719
120.791864,-702
120.89186,-669
120.991856,-630
121.193382,-552
121.291861,-489
121.591873,-425
121.691851,-397
122.493115,-15
122.593089,-29
122.69186,33
122.791859,76
122.890087,116
122.993095,164
123.091856,199
123.291852,337
123.393596,384
123.593111,567
123.793102,741
123.890096,805
123.990096,847
124.090104,876
124.190088,906
124.290087,921
124.390094,934
124.490086,943
124.590086,937
124.690103,925
124.790103,926
124.890105,901
124.990105,883
125.090126,872
125.191871,843
125.293659,814
125.390103,784
125.490095,750
125.590082,707
125.690085,657
125.790112,611
125.890087,560
125.990113,498
126.190119,372
126.290118,298
126.590116,164
126.690081,134
126.790095,112
126.890096,89
127.090104,56
127.190088,55
127.290087,50
127.390095,53
127.490086,66
127.590085,70
127.890104,120
127.990065,140
128.190057,214
128.290082,240
128.590055,379
128.890087,491
128.9901,516
129.390086,558
129.490116,556
129.590077,558
129.690094,554
129.790081,551
129.890083,544
