T,gyro_5f_wz[dps]
66.580024,1.0
66.680009,0.8
66.780086,0.1
66.880812,-0.4
66.980008,-1.0
67.080068,-1.1
67.17994,-0.7
67.279937,-0.8
67.379943,-0.6
67.479977,-0.5
67.579955,-0.4
67.680929,0.6
67.780972,1.1
67.880035,1.1
67.980085,1.2
68.080095,0.9
68.179928,0.6
68.379926,0.0
68.480044,0.3
68.58004,0.8
68.679964,1.5
68.780059,1.6
68.880015,1.7
68.980953,0.9
69.080085,0.3
69.180101,0.5
69.279925,0.8
69.379926,0.8
69.479923,1.5
69.580099,1.6
69.680085,0.7
69.780021,0.3
69.880031,0.4
69.98002,0.2
70.080078,-0.4
70.180107,-0.4
70.280902,-0.5
70.380908,-1.2
70.480778,-1.7
70.580977,-0.9
70.680058,-0.7
70.780056,-0.2
70.880972,0.1
70.980116,0.1
71.080004,0.3
71.180903,0.3
71.280894,0.5
71.380908,0.6
71.480888,0.6
71.581032,0.4
71.680074,0.6
71.780952,0.3
71.880957,0.4
71.980018,0.7
72.080096,1.5
72.180919,1.6
72.280895,1.1
72.380882,0.2
72.480901,-0.1
72.58091,-1.1
72.679977,-1.4
72.779985,-1.3
72.880922,-0.8
72.980005,-0.3
73.080096,-0.5
73.180036,-0.3
73.280882,-0.4
73.380883,0.2
73.480902,0.1
73.579982,0.8
73.680057,1.5
73.780979,2.1
73.880896,2.1
73.98009,1.8
74.080802,1.3
74.180808,0.0
74.280025,-1.0
74.380869,-1.3
74.480874,-1.6
74.580915,-0.7
74.680995,-0.1
74.780927,-0.1
74.88079,0.2
74.980994,-0.3
75.080966,-1.2
75.180881,-1.9
75.280086,-1.4
75.380872,-0.6
75.480891,-0.3
75.580879,0.1
75.680015,0.3
75.780974,0.5
75.88093,1.2
75.980087,0.8
76.080054,0.9
76.180896,0.4
76.280817,0.2
76.380742,-0.1
76.480761,-0.3
76.58087,-0.7
76.680038,-0.6
76.780271,-0.6
76.880008,-0.4
76.980938,-0.9
77.080958,-1.6
77.180969,-2.2
77.280733,-1.7
77.380856,-0.9
77.480861,-0.9
77.580849,-0.3
77.680864,-0.3
77.780042,-0.2
77.880052,0.0
77.980925,-0.2
78.08005,-0.3
78.180967,-0.1
78.280938,-0.6
78.380776,-0.5
78.480857,0.0
78.580837,-0.4
78.680855,-0.2
78.780017,0.1
78.880861,-0.7
78.980007,-0.6
79.080881,-1.5
79.180789,-1.7
79.280961,-1.9
79.380935,-1.8
79.480719,-1.8
79.580846,-1.4
79.680847,-1.3
79.780906,-1.3
79.880931,-1.2
79.980882,-1.4
80.080041,-1.5
80.180797,-1.1
80.280998,0.0
80.380956,0.1
80.48085,0.2
80.580838,0.8
80.680839,1.4
80.780181,1.0
80.88098,0.7
80.980917,0.4
81.080983,0.3
81.180969,0.3
81.280984,0.0
81.380838,-0.1
81.480842,0.0
81.580843,0.0
81.680835,0.0
81.780832,-0.2
81.880912,-0.6
81.980936,-0.9
82.080905,-1.1
82.180898,-1.0
82.280861,-1.2
82.380888,-0.6
82.480943,-0.1
82.580842,0.3
82.68083,0.8
82.780835,1.5
82.880021,1.7
82.981002,1.1
83.080931,0.9
83.180997,0.9
83.280758,0.7
83.380845,0.1
83.480035,-0.3
83.580703,-0.7
83.680813,-1.3
83.780937,-1.3
83.880989,-1.8
83.980788,-1.3
84.080927,-1.1
84.180873,-0.2
84.280822,0.0
84.380902,0.6
84.480988,1.0
84.580816,1.8
84.680822,1.6
84.780911,0.8
84.880192,0.6
84.980874,0.0
85.080003,0.6
85.180837,0.0
85.280848,-0.3
85.380916,0.3
85.48002,1.1
86.180798,-2.5
86.28083,-1.8
86.380687,-1.5
86.480935,-0.7
86.580977,-0.8
86.680675,-0.9
86.780815,-0.3
86.880676,-0.5
86.980896,0.0
87.080878,0.6
87.180944,0.8
87.280688,0.9
87.380778,1.5
87.480805,1.2
