T,gyro_1f_az
87.493275,1163
87.593276,1009
87.693226,1140
87.79324,1085
87.893255,1076
87.993255,1100
88.093276,1268
88.19326,1060
88.293266,987
88.393253,1213
88.493271,1032
88.593218,1108
88.693235,933
88.793222,1170
88.893726,1387
88.99325,1295
89.093232,1074
89.193229,1265
89.293249,1145
89.393262,1304
89.493293,1043
89.59324,999
89.693231,979
89.793258,1139
89.893246,1099
89.993246,1253
90.093254,1201
90.193251,1116
90.293218,1281
90.393231,814
90.493222,1299
90.593235,880
90.693227,1108
90.793729,1180
90.893241,1041
90.993241,1371
91.09325,1244
91.19322,1553
91.29324,1284
91.39324,1508
91.493231,1065
91.593244,1177
91.693222,1480
91.793235,1339
91.89321,1355
91.993224,1370
92.093258,1157
92.193216,1340
92.293236,1075
92.393222,1207
92.4932,1553
92.593214,1106
92.693733,1393
92.793204,1314
92.893193,1137
92.993233,1375
93.093254,1089
93.193211,1546
93.293244,1318
93.393271,1037
93.493222,1103
93.593236,1506
93.693239,1190
93.793213,1163
93.893202,1160
93.993228,1456
94.09321,1852
94.193247,1477
94.293253,1002
94.393227,1303
94.493271,1095
94.593759,1488
94.693235,1268
94.793249,1389
94.893237,1170
94.993223,1286
95.093206,1327
95.193216,1154
95.293195,1186
95.393222,1403
95.493213,1227
95.593187,1644
95.693218,1432
95.793231,1223
95.893232,1249
95.993193,1297
96.093201,1259
96.193211,1282
96.293231,1170
96.393218,1398
96.49375,1420
96.593209,1264
96.693226,1307
96.793214,1629
96.893241,1157
96.993241,1417
97.093237,1429
97.193246,1687
97.2932,1117
97.593218,1225
97.793195,1467
97.99321,1473
98.193202,1152
98.293196,1374
98.393711,1004
98.493226,1382
98.593187,1513
100.993223,1778
101.293208,1503
101.493187,1641
101.593186,1116
101.693164,1716
101.793191,1503
101.893205,1423
101.993192,1584
102.093188,1467
102.193687,1674
102.293217,1419
102.393191,1670
102.493182,1491
102.593169,1661
102.693173,1497
102.793187,1368
102.893188,1901
102.993188,1392
103.093223,1537
103.19318,1498
103.293187,1710
103.39316,1630
103.493204,1455
103.593178,1302
103.693169,1752
103.793208,1583
103.893197,1749
103.99321,1547
104.093681,1599
104.193176,1576
104.293169,1687
104.393196,1716
104.4932,1975
104.593187,1431
104.693204,1908
104.793191,1449
104.893206,1521
104.993179,1722
105.093214,1919
105.193184,1820
105.293191,1906
105.393191,1890
105.493182,1737
105.593182,1991
105.693186,1672
106.593191,1664
106.693168,1821
106.793182,1800
106.89317,1738
106.993197,1777
107.093192,2180
107.193202,1757
107.293208,1789
107.393195,1626
107.4932,1355
107.593199,1947
107.693177,1792
107.793178,1749
107.893681,2181
107.993179,1647
108.093174,1830
108.193171,1941
108.293151,1973
108.393191,2029
108.593169,1962
108.693186,1564
110.893192,1952
110.993166,2234
111.093187,1988
111.29241,2055
111.393151,1953
111.492401,2007
111.593182,2012
111.693675,1973
111.793173,2045
111.892394,1996
111.993677,2005
112.192373,2362
116.09234,2406
116.292336,2478
116.493142,2290
116.591868,1747
116.693146,996
119.791873,132
119.891887,135
119.991861,156
120.093169,110
120.193166,91
120.293178,121
120.391873,90
120.691877,87
120.791864,77
120.89186,4
120.991856,-27
121.193382,-43
121.291861,-68
121.591873,-59
121.691851,-65
122.493115,-51
122.593089,-53
122.69186,-42
122.791859,-44
122.890087,-54
122.993095,-44
123.091856,-45
123.291852,-50
123.393596,-55
123.593111,-48
123.793102,-42
123.890096,-50
123.990096,-34
124.090104,-42
124.190088,-45
124.290087,-43
124.390094,-42
124.490086,-38
124.590086,-34
124.690103,-38
124.790103,-43
124.890105,-26
124.990105,-21
125.090126,-28
125.191871,-24
125.293659,-8
125.390103,-15
125.490095,-14
125.590082,-16
125.690085,-6
125.790112,-7
125.890087,-10
125.990113,-2
126.190119,-1
126.290118,10
126.590116,4
126.690081,0
126.790095,8
126.890096,9
127.090104,12
127.190088,7
127.290087,15
127.390095,18
127.490086,13
127.590085,23
127.890104,19
127.990065,21
128.190057,18
128.290082,19
128.590055,28
128.890087,30
128.9901,30
129.390086,39
129.490116,45
129.590077,42
129.690094,42
129.790081,43
129.890083,49
129.990083,57
130.090064,57
130.190075,67
130.2901,59
130.390081,64
130.490072,68
130.590072,67
130.690089,71
130.790077,73
130.890091,73
130.993614,78
131.090113,77
131.190097,81
131.290083,84
131.39009,81
131.490068,90
131.690072,96
131.790059,100
131.890074,98
132.190053,93
132.290064,97
132.390085,104
132.49005,101
132.690094,101
132.790055,101
132.893605,100
132.990069,105
133.190075,101
133.29006,104
133.390055,103
133.490059,102
133.69009,103
133.79009,107
133.890078,100
133.990065,103
134.090047,105
134.290056,104
134.39005,102
134.690085,104
135.090082,106
135.290078,111
135.390072,107
135.490103,111
135.690081,111
135.790067,108
135.990069,110
136.090064,112
136.190074,113
136.29006,114
136.390054,113
136.490059,113
136.590072,116
136.693547,114
136.790037,115
136.890078,114
137.190044,117
137.490068,119
137.590068,118
137.690045,118
137.790059,120
137.890074,121
137.990086,118
138.090095,120
138.190079,121
138.290091,121
138.390059,119
139.290073,125
140.793595,129
140.890047,133
140.990034,130
141.090029,133
141.190039,133
141.290051,135
141.390033,136
141.490036,138
141.590076,136
141.690028,137
141.790028,137
141.890042,136
141.990056,138
142.090051,141
142.190034,140
142.290047,141
142.390041,137
142.490019,140
142.590019,142
142.692299,140
142.790023,142
142.890025,146
142.990038,143
143.090046,146
143.19007,145
143.290042,148
143.39005,148
143.490041,148
143.590028,147
143.690032,150
143.790058,149
143.89006,148
143.990033,148
144.090042,148
144.190039,149
144.290037,151
144.390032,151
144.490037,150
144.590036,152
144.690054,149
144.790041,153
144.892292,155
144.990029,150
145.090024,156
145.190035,153
145.29002,155
145.390028,155
145.490045,156
145.590032,158
145.690036,158
145.790037,158
145.890051,159
145.990038,159
146.09002,159
146.190016,158
146.290016,160
146.390023,161
146.49004,163
146.590054,163
146.690032,164
146.793542,165
146.890007,164
146.99002,165
147.090042,165
147.190012,168
147.290024,168
148.990012,177
149.090033,176
149.19003,175
149.290029,177
149.39001,177
149.490027,177
149.590014,178
149.690045,179
149.790032,180
149.890007,180
149.990007,179
150.090002,179
150.190012,179
150.290024,181
150.389992,179
150.490023,182
150.590009,179
150.690001,182
150.790014,179
150.893565,182
150.990029,181
151.090011,182
151.190008,182
